UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Health_Class,Power_W,Temp_Delta,Wear_Torque,Type_encoded
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,Early Warning,1378.1748092277942,10.200000000000044,657.8,1
52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,Normal,7951.025431043872,10.200000000000044,7960.5,1
53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,Normal,6866.327735538924,10.199999999999989,6438.599999999999,0
54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,Normal,5752.413228355591,10.300000000000011,5335.2,1
55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,Normal,5330.141287811075,10.300000000000011,4635.400000000001,1
56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,Normal,6444.286178455672,10.300000000000011,6349.200000000001,1
57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,Normal,6558.053720417668,10.300000000000011,6699.2,1
58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,Normal,6385.171876690622,10.300000000000011,6448.0,1
59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,Normal,5131.21564098577,10.199999999999989,4779.0,2
60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,Normal,7850.127946986078,10.300000000000011,8976.0,1
61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,Normal,7673.004953176687,10.300000000000011,8784.2,1
62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,Normal,6368.469075749038,10.199999999999989,6455.8,2
63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,Normal,4386.092695407341,10.199999999999989,3938.8,1
64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,Normal,4914.581883569728,10.100000000000025,4506.599999999999,2
65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,Normal,6156.244020023535,10.100000000000025,6832.2,1
66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,Normal,6583.668172519939,10.100000000000025,8072.900000000001,1
67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,Normal,5046.162255877582,10.0,5194.7,2
68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,Normal,6770.195000339076,10.099999999999966,8114.400000000001,0
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,Normal,5180.988940594142,10.099999999999966,6123.599999999999,1
70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,Early Warning,9700.923955019922,10.100000000000025,12548.7,1
71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,Normal,4553.466280015095,10.100000000000025,4361.8,2
72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,Normal,6918.415341735443,10.200000000000044,8918.0,1
73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,Normal,6365.243707291352,10.200000000000044,8791.199999999999,1
74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,Normal,5834.984755267443,10.100000000000025,7000.0,1
75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,Normal,5415.299392674381,10.100000000000025,6524.599999999999,1
76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,Normal,6743.878925877506,10.099999999999966,9526.8,1
77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,Normal,7328.487430808517,10.099999999999966,9867.4,1
78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,Critical,6292.767164773034,10.099999999999966,8590.4,1
79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,Normal,7539.508209350144,10.099999999999966,0.0,1
80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,Normal,5564.367964087218,10.099999999999966,75.8,1
81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,Normal,7550.870302780628,10.0,199.6,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,Normal,7212.573133866566,10.0,427.5,1
83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,Normal,6208.038410905718,10.0,448.8,1
84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,Normal,6168.716142858287,10.0,521.3000000000001,1
85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,Normal,7088.187008735435,10.0,714.0,1
86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,Normal,5062.906944721215,10.0,455.6,2
87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,Normal,6601.575250645399,10.0,878.0,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,Normal,5141.656200571199,10.0,795.0,1
89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,Normal,6716.599429668835,10.0,1220.4,2
90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,Normal,6150.871896585897,10.0,1185.0,2
91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,Normal,4736.2022526989,10.0,851.4,1
92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,Normal,4771.765081537536,10.0,871.5,1
93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,Normal,4901.062563183781,10.0,1002.7,2
94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,Normal,6529.2767317107855,9.899999999999975,1720.0,1
95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,Normal,5418.388625450412,9.899999999999975,1339.8,1
96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,Normal,7385.06751449967,10.0,2296.8,2
97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,Normal,5822.156585265284,10.0,1659.1,2
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,Normal,5479.4611866361965,10.0,1495.0,2
99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,Normal,5235.809732399286,9.900000000000034,1733.1,1
100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,Normal,7081.275504897538,10.0,2442.0,1
101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,Normal,4848.524662040247,10.099999999999966,1425.0,1
102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,Normal,4315.888571575122,10.0,1221.3,1
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,Normal,6611.272299969481,10.0,2476.6,1
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,Normal,6111.497268660905,10.0,2551.5,2
105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,Normal,6590.014189680189,9.899999999999975,2864.4,1
106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,Normal,5181.543955296278,9.899999999999975,2114.8,1
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,Normal,7339.022238173556,9.899999999999975,3395.0,1
108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,Normal,7336.6241557813155,10.0,3369.6,2
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,Normal,5550.848643701271,9.900000000000034,2452.5,0
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,Normal,5613.523417140386,9.800000000000011,2728.0,1
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,Normal,4410.79608564007,9.800000000000011,1845.0,1
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,Normal,6828.408712210094,9.900000000000034,3654.0,0
113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,Normal,6196.3726301853885,9.899999999999975,3515.5,2
114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,Normal,6520.208000917423,9.800000000000011,3854.8,2
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,Normal,5172.318144870235,9.800000000000011,2793.0,1
116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,Normal,6848.326409633854,9.800000000000011,4432.900000000001,1
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,Normal,5584.955867943743,9.800000000000011,3375.9,1
118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,Normal,5525.747318399087,9.800000000000011,3333.0,1
119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,Normal,5023.0610778981845,9.800000000000011,2894.3,2
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,Normal,6252.491946954015,9.800000000000011,4314.200000000001,1
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,Normal,6707.834386165318,9.800000000000011,4827.6,1
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,Normal,6721.919193228913,9.800000000000011,4532.0,1
123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,Normal,6955.171975782443,9.800000000000011,5678.400000000001,1
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,Normal,7026.31857741074,9.800000000000011,4947.599999999999,1
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,Normal,5317.019902494581,9.800000000000011,3410.4,1
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,Normal,5260.28273917075,9.700000000000044,3799.6,1
127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,Normal,8419.939550518684,9.600000000000025,7260.0,1
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,Normal,6880.559150259685,9.700000000000044,5673.0,1
129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,Normal,6414.9437030711415,9.600000000000025,4786.400000000001,1
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,Normal,5599.75276934215,9.600000000000025,4321.799999999999,1
131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,Normal,6339.765390870739,9.599999999999966,5260.8,1
132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,Normal,5038.580545606918,9.599999999999966,3601.0,1
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,Normal,6518.930419904966,9.699999999999989,5702.400000000001,2
134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,Normal,7427.562791127229,9.699999999999989,6696.0,2
135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,Normal,7598.151272217155,9.599999999999966,7314.0,1
136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,Normal,5106.501778777529,9.699999999999989,3990.0,2
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,Normal,6795.683788735201,9.800000000000011,6535.1,0
138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,Normal,7510.930188177989,9.900000000000034,8184.4,1
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,Normal,7495.902903318319,9.800000000000011,7410.0,0
140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,Normal,7409.383441638454,9.800000000000011,8649.0,1
141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,Normal,5712.158954487593,9.800000000000011,5667.7,1
142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,Normal,5691.393027047366,9.800000000000011,5596.8,1
143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,Normal,5250.606633797693,9.799999999999956,4540.2,2
144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,Normal,7440.705120394746,9.799999999999956,8282.0,0
145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,Normal,6176.203605349342,9.799999999999956,7165.599999999999,2
146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure,Normal,5323.617247067119,9.899999999999975,5779.2,1
147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure,Normal,6093.977653629385,9.899999999999975,6281.400000000001,0
148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure,Normal,6361.882203152011,10.0,7177.900000000001,1
149,M15008,M,298.3,308.3,1379,48.0,181,0,No Failure,Normal,6931.61003088052,10.0,8688.0,2
150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure,Normal,6154.662751721228,9.900000000000034,7341.599999999999,1
151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure,Normal,6358.52069901267,9.900000000000034,7942.200000000001,1
152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure,Normal,5760.508065426341,9.800000000000011,7068.8,2
153,M15012,M,298.4,308.2,1584,41.0,191,0,No Failure,Normal,6800.919776491184,9.800000000000011,7831.0,2
154,L47333,L,298.4,308.2,1850,27.0,194,0,No Failure,Normal,5230.751768227006,9.800000000000011,5238.0,1
155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,Normal,5792.426646786814,9.800000000000011,7095.200000000001,1
156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure,Normal,4119.947437770727,9.800000000000011,3920.4,0
157,M15016,M,298.4,308.1,1495,46.0,203,0,No Failure,Normal,7201.577559579003,9.700000000000044,9338.0,2
158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure,Normal,6732.747215908285,9.800000000000011,8961.0,0
159,M15018,M,298.4,308.2,1499,40.0,211,0,No Failure,Normal,6278.996516974799,9.800000000000011,8440.0,2
160,L47339,L,298.4,308.2,1471,47.0,214,0,No Failure,Normal,7240.009709707918,9.800000000000011,10058.0,1
161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,Critical,8149.019072048613,9.800000000000011,13111.2,1
162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,Critical,7733.302588174586,9.800000000000011,11401.4,1
163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,Normal,5896.036372502204,9.800000000000011,0.0,1
164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,Normal,6733.312702585931,9.800000000000011,87.6,2
165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,Normal,6574.72510543272,9.800000000000011,218.0,2
166,L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,Normal,4718.4627261816295,9.899999999999975,208.0,1
167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,Normal,5503.148795244265,9.800000000000011,326.0,0
168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,Normal,6550.032187175502,9.900000000000034,643.5,0
169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,Early Warning,9348.950386087232,9.900000000000034,1246.0,1
170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,Normal,8157.019661339754,9.900000000000034,1300.2,1
171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,Normal,5900.958200992828,9.800000000000011,840.0,2
172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,Normal,7777.494324835084,9.900000000000034,1371.6,1
173,M15032,M,298.1,308.0,1924,20.8,29,0,No Failure,Normal,4190.800824084688,9.899999999999975,603.2,2
174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,Normal,5614.727694324262,9.800000000000011,1078.4,2
175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,Normal,7973.341210859871,9.900000000000034,2040.5,1
176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,Normal,6295.437518528587,9.900000000000034,1609.5,1
177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,Normal,5879.4487632912505,9.900000000000034,1353.3000000000002,1
178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,Normal,4455.1134860067095,10.0,877.4,1
179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,Normal,7548.953931261937,10.0,2158.6,1
180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,Normal,6800.417121666609,10.100000000000025,2241.0,1
181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,Normal,7707.635776194757,10.100000000000025,2345.3,1
182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,Normal,4622.413766785878,10.100000000000025,1185.8,0
183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,Normal,6759.681136925062,10.099999999999966,2597.4,2
184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,Normal,6329.209639554678,10.099999999999966,2319.9,1
185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,Normal,5341.775652604868,10.0,1805.4,1
186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,Normal,5784.426057495672,10.0,2330.2000000000003,1
187,L47366,L,298.1,308.3,1301,56.0,63,0,No Failure,Normal,7629.4624789979325,10.199999999999989,3528.0,1
188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,Normal,6224.008173561467,10.199999999999989,2801.5,1
189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,Normal,5650.845537865033,10.199999999999989,2251.2000000000003,1
190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,Normal,6994.504715805388,10.099999999999966,2994.6,2
191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,Normal,7718.086807755699,10.199999999999989,3592.8,1
192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,Normal,6036.423676215621,10.199999999999989,2560.4,1
193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,Normal,7583.42767464733,10.199999999999989,3936.8,0
194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,Normal,6079.903318541303,10.199999999999989,2802.6,0
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,Early Warning,3000.702695051803,10.300000000000011,920.2,2
196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,Normal,6527.569799702336,10.199999999999989,3818.1,1
197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure,Normal,7422.955121901963,10.300000000000011,4504.5,0
198,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure,Normal,6540.199002169767,10.200000000000044,3926.4,2
199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,Normal,5820.3239895506895,10.300000000000011,3465.0,1
200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure,Normal,7067.986567972852,10.200000000000044,4757.1,1
201,L47380,L,298.4,308.6,1609,35.0,103,0,No Failure,Normal,5897.293009563639,10.200000000000044,3605.0,1
202,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure,Normal,6795.264909714723,10.199999999999989,4326.0,1
203,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure,Normal,6116.178241714753,10.100000000000025,3819.9,2
204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,Normal,5913.6292913623065,10.100000000000025,4169.0,1
205,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure,Normal,5980.000672157147,10.100000000000025,3673.6,1
206,M15065,M,298.5,308.6,1344,53.0,114,0,No Failure,Normal,7459.397596683605,10.100000000000025,6042.0,2
207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,Normal,5947.841235359899,10.199999999999989,4130.099999999999,1
208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,Early Warning,9032.571061919718,10.300000000000011,7223.3,2
209,L47388,L,298.4,308.6,1591,36.7,122,0,No Failure,Normal,6114.555085510398,10.200000000000044,4477.400000000001,1
210,L47389,L,298.4,308.6,1477,44.0,124,0,No Failure,Normal,6805.527445716449,10.200000000000044,5456.0,1
211,L47390,L,298.4,308.7,1523,36.1,126,0,No Failure,Normal,5757.523552405431,10.300000000000011,4548.6,1
212,L47391,L,298.5,308.7,1575,33.9,128,0,No Failure,Normal,5591.249525226434,10.199999999999989,4339.2,1
213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure,Normal,7445.323261595522,10.300000000000011,6877.0,0
214,L47393,L,298.4,308.7,1386,44.9,135,0,No Failure,Normal,6516.856968753594,10.300000000000011,6061.5,1
215,M15074,M,298.3,308.6,1589,37.1,137,0,No Failure,Normal,6173.428531838671,10.300000000000011,5082.7,2
216,L47395,L,298.3,308.6,1548,40.3,140,0,No Failure,Normal,6532.879091286903,10.300000000000011,5642.0,1
217,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure,Normal,6012.13916500337,10.300000000000011,5438.599999999999,1
218,L47397,L,298.3,308.5,1664,31.6,144,0,No Failure,Normal,5506.416051603998,10.199999999999989,4550.400000000001,1
219,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure,Normal,5773.2734035754265,10.300000000000011,5562.6,1
220,M15079,M,298.3,308.5,1434,46.2,148,0,No Failure,Normal,6937.767552481556,10.199999999999989,6837.6,2
221,L47400,L,298.3,308.5,1416,52.7,151,0,No Failure,Normal,7814.523230245396,10.199999999999989,7957.700000000001,1
222,H29635,H,298.4,308.5,1827,24.3,153,0,No Failure,Normal,4649.148720267927,10.100000000000025,3717.9,0
223,L47402,L,298.4,308.6,1304,45.0,158,0,No Failure,Normal,6144.955230421635,10.200000000000044,7110.0,1
224,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure,Normal,5652.102174926468,10.200000000000044,5504.0,1
225,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure,Normal,4860.169498809554,10.300000000000011,4746.6,1
226,L47405,L,298.3,308.5,1362,53.8,164,0,No Failure,Normal,7673.402888246141,10.199999999999989,8823.199999999999,1
227,L47406,L,298.3,308.4,1329,49.2,166,0,No Failure,Normal,6847.28968405817,10.099999999999966,8167.200000000001,1
228,L47407,L,298.3,308.5,1539,36.1,168,0,No Failure,Normal,5818.009682962545,10.199999999999989,6064.8,1
229,M15088,M,298.3,308.5,1629,37.1,170,0,No Failure,Normal,6328.832648436246,10.199999999999989,6307.0,2
230,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure,Normal,5186.099264643983,10.199999999999989,5570.6,1
231,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure,Normal,5721.468540717731,10.300000000000011,6089.999999999999,1
232,L47411,L,298.3,308.4,1408,43.1,177,0,No Failure,Normal,6354.897395485529,10.099999999999966,7628.7,1
233,L47412,L,298.2,308.4,1424,47.6,179,0,No Failure,Normal,7098.156329422827,10.199999999999989,8520.4,1
234,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure,Normal,5525.935813958303,10.199999999999989,6316.9,1
